ID,Label,Type,Origin
Abimanyu,Abimanyu,Human,India
Angganjali,Angganjali,Human,Java?
Anoman,Anoman,Animal,India
Antaboga,Antaboga,God,Java
Antakawulan,Antakawulan,Human,Java
Antareja,Antareja,Human,Java
Antasena,Antasena,Human,Java
Arimbi,Arimbi,Raksasa,India
Arjuna,Arjuna,Human,India
Asmarawati,Asmarawati,Human,India
Badrahini,Badrahini,Heavenly Creature,Java
Bagaspati,Bagaspati,Raksasa,Java
Bagong,Bagong,Human,Java
Bagus,Bagus,Human,Java
Baladewa,Baladewa,Human,India
Banowati,Banowati,Human,India
Bantala,Bantala,Raksasa,Java
Barata,Barata,Human,India
Basudewa,Basudewa,Human,India
Bayu,Bayu,God,India
Bendana,Bendana,Raksasa,Java
Bhisma,Bhisma,Human,India
Bilung,Bilung,Human,Java
Bisawarna,Bisawarna,Human,Java
Bismaka,Bismaka,Human,India
Bomanarakasura,Bomanarakasura,Human,India
Brajadhenta,Brajadhenta,Raksasa,Java
Iswara,Iswara,God,India
Brajamusthi,Brajamusthi,Raksasa,Java
Brahma,Brahma,God,India
Garuda,Garuda,Animal,India
Abiyasa,Abiyasa,Human,India
Citrarata,Citrarata,Human,India
Citrasena,Citrasena,Heavenly Creature,India
Daryamaya,Daryamaya,Raksasa,Java
Desamuka,Desamuka,Raksasa,India
Destarastra,Destarastra,Human,India
DewaRuci,DewaRuci,God,Java
Dewaki,Dewaki,Human,India
Dhadhungawuk,Dhadhungawuk,Raksasa,Java
Dhamdharat,Dhamdharat,Demon,Java
Dhandhang,Dhandhang,Demon,Java
Dhandhonwacana,Dhandhonwacana,Demon,Java
Dersanala,Dersanala,Heavenly Creature,Java
Drestarastra,Drestarastra,Human,India
KudaKalaKresna,KudaKalaKresna,Raksasa,India?
Drupadi,Drupadi,Human,India
Druwasa,Druwasa,Human,India
Durga,Durga,God,India
Durna,Durna,Human,India
Duryudana,Duryudana,Human,India
Maheswara,Maheswara,God,India?
Sambuh,Sambuh,God,India?
Erawati,Erawati,Human,India
GagakBaka,GagakBaka,Demon,Java
Gareng,Gareng,Human,Java
Gatotkaca,Gatotkaca,Human,India
Gendara,Gendara,Human,Java
Gendari,Gendari,Human,India
Godhayitma,Godhayitma,Raksasa,Java?
Gorawangsa,Gorawangsa,Raksasa,Java
Guru,Guru,God,India
Mahadewa,Mahadewa,God,India?
Hagni,Hagni,Raksasa,Java
Indra,Indra,God,India
JayaBajra,JayaBajra,Raksasa,Java
Jembawati,Jembawati,Human,India
Kalika,Kalika,Demon,Java?
Kamajaya,Kamajaya,God,India
Kanastren,Kanastren,Heavenly Creature,Java
Kangsa,Kangsa,Human,India
Karna,Karna,Human,India
Kartamarma,Kartamarma,Human,India
Kartapiyoga,Kartapiyoga,Raksasa,Java
KencanaWulan,KencanaWulan,Human,Java
Kesawasidhi,Kesawasidhi,Human,Java?
Sangkara,Sangkara,God,India?
Kresna,Kresna,Human,India
Kumbakarna,Kumbakarna,Raksasa,India
Kunti,Kunti,Human,India
Kuntiboja,Kuntiboja,Human,India
Kurandhayaksa,Kurandhayaksa,Raksasa,Java
LesmanaMandrakumara,LesmanaMandrakumara,Human,India
LesmanaMurdaka,LesmanaMurdaka,Human,India
Madrim,Madrim,Human,India
Maerah,Maerah,Human,
Mandrakeswara,Mandrakeswara,Human,Java
Mangsahpati,Mangsahpati,Human,India
Maruta,Maruta,Raksasa,Java
Nagagini,Nagagini,Animal,Java
Nakula,Nakula,Human,India
Narada,Narada,Dewa,India
NemburNawa,NemburNawa,Animal,India
NgembatLandeyan,NgembatLandeyan,Human,Java
Padmanaba,Padmanaba,Human,Java
Pancawala,Pancawala,Human,Java
Pandu,Pandu,Human,India
Panyarikan,Panyarikan,God,Java?
Parasara,Parasara,Human,India
Petruk,Petruk,Human,Java
Nagaprasanta,Nagaprasanta,Raksasa,Java
Pracona,Pracona,Raksasa,Java
Pradapa,Pradapa,Human,India
Pragota,Pragota,Human,Java
Pujawati,Pujawati,Mixed (giant/human),India
Pulunggana,Pulunggana,God,Java
Pulungsari,Pulungsari,God,Java
Puntadewa,Puntadewa,Human,India
Rama,Rama,Human,India
Ramaparasu,Ramaparasu,Human,India
Ramayadi,Ramayadi,Human,Java
Ranu,Ranu,Raksasa,Java
RaraIreng,RaraIreng,Human,India
Ratmuka,Ratmuka,Demon,Java
Resi,Resi,God,Java
Rohini,Rohini,Human,India
Rukmara,Rukmara,Human,India
Rukmini,Rukmini,Human,India
Sadana,Sadana,God,Java
Sadewa,Sadewa,Human,India
Salya,Salya,Human,India
Rudra,Rudra,God,India?
Samba,Samba,Human,India
Surya,Surya,God,India
Saragupita,Saragupita,Human,
Satrugna,Satrugna,Human,India
Sekipu,Sekipu,Raksasa,Java
Semar,Semar,God,Java
Sengkalawati,Sengkalawati,Human,Java
Sengkuni,Sengkuni,Human,India
Setyaboma,Setyaboma,Human,India
Setyaki,Setyaki,Human,India
SitiSendari,SitiSendari,Human,India
Soka,Soka,Human,Java
Dewasrani,Dewasrani,God,Java
Sri,Sri,God,Java
Sugriwa,Sugriwa,Animal,India
Suparta,Suparta,Demon,Java
Surabramadiraja,Surabramadiraja,Human,Java
SuratiMantra,SuratiMantra,Raksasa,Java
Surtikanthi,Surtikanthi,Human,India
Tambrapeta,Tambrapeta,Human,Java?
Togog,Togog,God,Java
TunggulWulung,TunggulWulung,Snake,Java
Udawa,Udawa,Human,India?
Ugrasena,Ugrasena,Human,India
Wenang,Wenang,God,Java
Werkudara,Werkudara,Human,India
Wibisana,Wibisana,Human,Java
Wilawuk,Wilawuk,Demon,Java
Wisanggeni,Wisanggeni,Human,Java
Wisnu,Wisnu,God,India
Prasara,Prasara,God,India
WulanDrema,WulanDrema,God,Java
WulanDremi,WulanDremi,God,Java
Yamadipati,Yamadipati,God,India?
Yamawidura,Yamawidura,Human,India
YudaKothi,YudaKothi,Animal,Java
Yudhistira,Yudhistira,Demon,Java?
YudaKalaKresna,YudaKalaKresna,Raksasa,Java?
Nagatatmala,Nagatatmala,Human,Java?
